Country,PC1,PC2
Belgium,-12413848.192689689,-337145.8988396213
Bulgaria,-26028988.284269154,426254.2339120156
Czechia,-14980814.828327827,55353.35315661479
Denmark,-30218156.949272044,-345732.84585418156
Germany,211740011.9301095,-155553.64674647484
Estonia,-44214013.80608957,-251114.40775759652
Ireland,-33146428.778454814,-573598.6026708311
Greece,-14354929.55958525,539453.8612341386
Spain,99733052.65061301,511123.24181583937
France,163084588.4624763,228557.1290735476
Croatia,-35364330.63593576,213753.58236326298
Italy,141544661.40959686,3334577.1279007075
Cyprus,-45641120.09442333,-299876.55288053735
Latvia,-42241517.07763183,-65981.36567457711
Lithuania,-39361475.84990214,17192.63355357815
Luxembourg,-46514344.83487834,-373016.18897542957
Hungary,-17404730.947720706,286734.10002378223
Malta,-46898695.4990962,-377310.8629211371
Netherlands,5847705.766353157,-470105.95345010364
Austria,-20715308.333088342,-495725.5222005368
Poland,71580091.22241633,1434875.153801475
Portugal,-15683086.852440214,265511.2874246623
Romania,13495943.784371056,1435295.6349296076
Slovenia,-41824537.21598671,-259059.80461828003
Slovakia,-31205511.3263993,-121715.92829742008
Finland,-31007677.965416353,-188887.16747031527
Sweden,-16665369.47279805,-856921.3551410973
Iceland,-47298118.28953243,-329076.37449239986
Liechtenstein,-48273234.815118134,-286215.476095871
Norway,-31755763.00458553,-457006.56989809073
Switzerland,-21758565.6858535,-656904.7963134816
United Kingdom,158861104.97639942,24109.112629326548
Montenegro,-46428676.47723995,-259756.04399796925
Moldova,-37762106.797774576,355423.8846505036
North Macedonia,-41919607.43862892,-105580.07619532532
Albania,-39341553.85253526,-88588.79783900721
Serbia,-26225697.520320714,346936.5393667153
Turkiye,205570598.5446788,-6455556.714409564
Ukraine,86490775.5552966,5528187.023263522
Kosovo (under United Nations Security Council Resolution 1244/99),-42745385.8963441,-218867.53784001007
Georgia,-36366111.35210988,267483.14749666775
Andorra,-48152554.553650364,-282271.3401197496
Belarus,-18406880.99980388,62588.83303370236
San Marino,-48286000.96874733,-284150.11851922615
Azerbaijan,-17343390.14566056,-737689.9304108936
